Batch size:  32
The number of training instances: 465367
2 GPUs are available. Let's use them.
Start training.
  0%|          | 0/10 [00:00<?, ?it/s]/root/miniconda3/envs/ET-BERT/lib/python3.10/site-packages/torch/nn/parallel/_functions.py:68: UserWarning: Was asked to gather along dimension 0, but all input tensors were scalars; will instead unsqueeze and return a vector.
  warnings.warn('Was asked to gather along dimension 0, but all '
Epoch id: 1, Training steps: 100, Avg loss: 4.829
Epoch id: 1, Training steps: 200, Avg loss: 4.817
Epoch id: 1, Training steps: 300, Avg loss: 4.809
Epoch id: 1, Training steps: 400, Avg loss: 4.788
Epoch id: 1, Training steps: 500, Avg loss: 4.778
Epoch id: 1, Training steps: 600, Avg loss: 4.758
Epoch id: 1, Training steps: 700, Avg loss: 4.735
Epoch id: 1, Training steps: 800, Avg loss: 4.699
Epoch id: 1, Training steps: 900, Avg loss: 4.639
Epoch id: 1, Training steps: 1000, Avg loss: 4.600
Epoch id: 1, Training steps: 1100, Avg loss: 4.559
Epoch id: 1, Training steps: 1200, Avg loss: 4.531
Epoch id: 1, Training steps: 1300, Avg loss: 4.508
Epoch id: 1, Training steps: 1400, Avg loss: 4.450
Epoch id: 1, Training steps: 1500, Avg loss: 4.429
Epoch id: 1, Training steps: 1600, Avg loss: 4.377
Epoch id: 1, Training steps: 1700, Avg loss: 4.350
Epoch id: 1, Training steps: 1800, Avg loss: 4.292
Epoch id: 1, Training steps: 1900, Avg loss: 4.223
Epoch id: 1, Training steps: 2000, Avg loss: 4.177
Epoch id: 1, Training steps: 2100, Avg loss: 4.142
Epoch id: 1, Training steps: 2200, Avg loss: 4.082
Epoch id: 1, Training steps: 2300, Avg loss: 4.017
Epoch id: 1, Training steps: 2400, Avg loss: 3.979
Epoch id: 1, Training steps: 2500, Avg loss: 3.888
Epoch id: 1, Training steps: 2600, Avg loss: 3.879
Epoch id: 1, Training steps: 2700, Avg loss: 3.814
Epoch id: 1, Training steps: 2800, Avg loss: 3.754
Epoch id: 1, Training steps: 2900, Avg loss: 3.709
Epoch id: 1, Training steps: 3000, Avg loss: 3.635
Epoch id: 1, Training steps: 3100, Avg loss: 3.604
Epoch id: 1, Training steps: 3200, Avg loss: 3.518
Epoch id: 1, Training steps: 3300, Avg loss: 3.484
Epoch id: 1, Training steps: 3400, Avg loss: 3.431
Epoch id: 1, Training steps: 3500, Avg loss: 3.402
Epoch id: 1, Training steps: 3600, Avg loss: 3.353
Epoch id: 1, Training steps: 3700, Avg loss: 3.304
Epoch id: 1, Training steps: 3800, Avg loss: 3.244
Epoch id: 1, Training steps: 3900, Avg loss: 3.163
Epoch id: 1, Training steps: 4000, Avg loss: 3.150
Epoch id: 1, Training steps: 4100, Avg loss: 3.076
Epoch id: 1, Training steps: 4200, Avg loss: 3.040
Epoch id: 1, Training steps: 4300, Avg loss: 2.986
Epoch id: 1, Training steps: 4400, Avg loss: 2.934
Epoch id: 1, Training steps: 4500, Avg loss: 2.930
Epoch id: 1, Training steps: 4600, Avg loss: 2.838
Epoch id: 1, Training steps: 4700, Avg loss: 2.798
Epoch id: 1, Training steps: 4800, Avg loss: 2.769
Epoch id: 1, Training steps: 4900, Avg loss: 2.757
Epoch id: 1, Training steps: 5000, Avg loss: 2.749
Epoch id: 1, Training steps: 5100, Avg loss: 2.671
Epoch id: 1, Training steps: 5200, Avg loss: 2.631
Epoch id: 1, Training steps: 5300, Avg loss: 2.630
Epoch id: 1, Training steps: 5400, Avg loss: 2.533
Epoch id: 1, Training steps: 5500, Avg loss: 2.528
Epoch id: 1, Training steps: 5600, Avg loss: 2.530
Epoch id: 1, Training steps: 5700, Avg loss: 2.441
Epoch id: 1, Training steps: 5800, Avg loss: 2.434
Epoch id: 1, Training steps: 5900, Avg loss: 2.421
Epoch id: 1, Training steps: 6000, Avg loss: 2.380
Epoch id: 1, Training steps: 6100, Avg loss: 2.343
Epoch id: 1, Training steps: 6200, Avg loss: 2.310
Epoch id: 1, Training steps: 6300, Avg loss: 2.241
Epoch id: 1, Training steps: 6400, Avg loss: 2.275
Epoch id: 1, Training steps: 6500, Avg loss: 2.189
Epoch id: 1, Training steps: 6600, Avg loss: 2.138
Epoch id: 1, Training steps: 6700, Avg loss: 2.132
Epoch id: 1, Training steps: 6800, Avg loss: 2.181
Epoch id: 1, Training steps: 6900, Avg loss: 2.126
Epoch id: 1, Training steps: 7000, Avg loss: 2.062
Epoch id: 1, Training steps: 7100, Avg loss: 2.073
Epoch id: 1, Training steps: 7200, Avg loss: 2.033
Epoch id: 1, Training steps: 7300, Avg loss: 1.960
Epoch id: 1, Training steps: 7400, Avg loss: 1.995
Epoch id: 1, Training steps: 7500, Avg loss: 1.983
Epoch id: 1, Training steps: 7600, Avg loss: 1.923
Epoch id: 1, Training steps: 7700, Avg loss: 1.914
Epoch id: 1, Training steps: 7800, Avg loss: 1.877
Epoch id: 1, Training steps: 7900, Avg loss: 1.814
Epoch id: 1, Training steps: 8000, Avg loss: 1.830
Epoch id: 1, Training steps: 8100, Avg loss: 1.840
Epoch id: 1, Training steps: 8200, Avg loss: 1.782
Epoch id: 1, Training steps: 8300, Avg loss: 1.771
Epoch id: 1, Training steps: 8400, Avg loss: 1.774
Epoch id: 1, Training steps: 8500, Avg loss: 1.764
Epoch id: 1, Training steps: 8600, Avg loss: 1.726
Epoch id: 1, Training steps: 8700, Avg loss: 1.678
Epoch id: 1, Training steps: 8800, Avg loss: 1.685
Epoch id: 1, Training steps: 8900, Avg loss: 1.688
Epoch id: 1, Training steps: 9000, Avg loss: 1.653
Epoch id: 1, Training steps: 9100, Avg loss: 1.663
Epoch id: 1, Training steps: 9200, Avg loss: 1.627
Epoch id: 1, Training steps: 9300, Avg loss: 1.603
Epoch id: 1, Training steps: 9400, Avg loss: 1.562
Epoch id: 1, Training steps: 9500, Avg loss: 1.550
Epoch id: 1, Training steps: 9600, Avg loss: 1.572
Epoch id: 1, Training steps: 9700, Avg loss: 1.530
Epoch id: 1, Training steps: 9800, Avg loss: 1.528
Epoch id: 1, Training steps: 9900, Avg loss: 1.520
Epoch id: 1, Training steps: 10000, Avg loss: 1.539
Epoch id: 1, Training steps: 10100, Avg loss: 1.480
